Student_ID,CGPA,Previous_Semester,Communication_Skills,Technical_Skills,Aptitude_Score,Projects_Completed,Internships,Certifications,Extracurricular_Activities,Backlogs,Soft_Skills,Programming_Skills,College_Tier,Stream,Placement,Package_LPA
STU00049,7.41,7.64,6.6,2.7,46.2,2,4,1,4.6,0,10.0,4.3,2,Computer Science,No,0.0
STU00050,4.88,5.1,1.0,1.5,59.4,0,0,0,3.5,1,6.7,3.3,3,Mechanical,No,0.0
STU00051,7.39,6.5,2.2,3.5,84.5,3,1,1,4.0,0,6.4,5.0,3,Mechanical,No,0.0
STU00052,6.54,6.86,4.1,3.5,43.1,1,2,1,1.5,0,5.6,3.7,4,Computer Science,No,0.0
STU00053,6.19,5.85,2.2,3.4,54.0,3,0,1,2.1,1,6.9,6.6,1,Computer Science,No,0.0
STU00054,7.73,7.18,3.5,2.3,66.9,1,2,5,4.5,0,7.1,5.9,4,IT,No,0.0
STU00055,8.24,7.69,6.9,6.3,72.6,5,2,1,7.0,0,9.9,6.0,2,Electronics,Yes,18.0
STU00056,8.12,8.34,7.2,3.9,51.3,3,3,3,2.9,0,7.7,6.1,3,Mechanical,Yes,16.6
STU00057,5.99,5.88,5.4,2.8,65.2,0,2,1,1.0,1,7.3,5.1,1,Computer Science,No,0.0
STU00058,6.63,5.79,6.4,2.8,46.2,2,1,0,2.8,1,8.9,5.6,1,Mechanical,No,0.0
STU00059,7.4,7.64,7.2,3.8,58.3,4,1,4,4.5,0,8.2,6.7,4,IT,Yes,16.93
STU00060,8.17,7.45,2.7,7.4,59.4,2,2,0,3.7,0,7.0,7.6,2,Computer Science,No,0.0
STU00061,6.42,6.49,5.2,3.7,43.7,3,1,1,4.2,1,7.6,5.8,1,Civil,No,0.0
STU00062,6.78,6.9,4.0,4.8,51.6,2,2,1,5.4,1,8.2,5.4,3,Electronics,No,0.0
STU00063,5.67,6.11,2.8,2.6,25.1,1,1,2,1.5,0,6.3,4.6,2,Computer Science,No,0.0
STU00064,5.56,6.45,4.7,3.0,20.0,1,0,1,1.7,5,7.1,6.3,4,Computer Science,No,0.0
STU00065,7.98,7.3,3.2,5.7,55.3,0,4,3,5.5,0,9.9,7.9,2,Computer Science,Yes,18.0
STU00066,8.63,8.6,3.7,6.3,52.5,3,3,4,3.1,0,5.6,5.9,1,Computer Science,Yes,18.0
STU00067,6.91,6.77,5.9,5.2,55.9,4,2,3,6.5,1,10.0,7.8,2,Electronics,Yes,18.0
STU00068,8.2,8.42,6.7,5.6,64.8,2,4,6,5.9,0,10.0,7.7,3,Computer Science,Yes,18.0
STU00069,7.43,7.54,5.5,7.3,53.6,1,1,2,3.7,0,7.5,7.3,2,Computer Science,Yes,15.55
STU00070,6.23,6.05,3.1,4.2,61.6,0,0,0,3.9,1,6.2,5.2,4,Computer Science,No,0.0
STU00071,7.43,7.21,6.5,3.1,53.4,3,1,2,4.9,0,8.8,4.2,4,Computer Science,No,0.0
STU00072,8.85,8.29,7.5,6.0,47.3,5,3,3,7.2,0,10.0,8.6,3,Mechanical,Yes,18.0
STU00073,6.96,7.45,5.1,4.4,47.0,0,1,3,4.9,0,7.0,4.4,1,Mechanical,No,0.0
STU00074,8.88,9.11,4.7,6.3,79.1,5,4,2,5.2,0,7.4,8.5,4,Civil,Yes,17.04
STU00075,4.0,4.46,2.0,1.2,20.0,0,0,0,2.1,0,3.8,4.7,2,Mechanical,No,0.0
STU00076,7.99,7.83,7.0,6.1,56.8,3,3,5,1.9,0,8.5,5.5,1,IT,Yes,18.0
STU00077,7.1,6.77,7.1,2.5,57.7,2,3,1,4.8,0,10.0,4.7,4,Electronics,No,0.0
STU00078,6.64,6.1,4.2,5.1,78.9,1,1,5,3.8,0,9.3,5.0,1,Civil,No,0.0
STU00079,7.11,7.29,4.7,3.5,65.4,0,1,1,3.7,0,6.6,6.7,1,Computer Science,No,0.0
STU00080,4.61,4.09,2.8,1.0,32.5,1,0,0,1.6,0,5.8,3.9,3,Computer Science,No,0.0
STU00081,6.74,7.66,5.2,3.0,54.2,2,1,2,6.1,0,10.0,6.3,1,Mechanical,No,0.0
STU00082,7.43,6.78,4.5,5.5,30.7,2,1,2,4.9,0,8.9,8.0,2,Mechanical,No,0.0
STU00083,8.77,8.91,2.1,5.8,51.6,3,4,3,5.2,0,7.8,6.0,3,Computer Science,Yes,18.0
STU00084,6.38,7.16,6.3,2.5,52.9,3,1,3,6.2,0,9.0,3.0,2,Mechanical,No,0.0
STU00085,6.03,6.33,6.9,2.3,44.2,0,0,0,2.4,1,9.0,2.2,3,Civil,No,0.0
STU00086,6.4,6.49,3.6,1.1,48.7,2,0,2,4.3,0,9.0,5.9,4,Computer Science,No,0.0
STU00087,8.1,7.62,4.3,4.3,59.2,1,2,4,7.8,0,7.7,4.2,4,Civil,No,0.0
STU00088,7.39,6.7,5.1,3.0,53.1,1,3,2,2.0,0,6.8,4.8,2,Computer Science,No,0.0
STU00089,6.36,6.75,4.2,2.9,46.1,2,0,0,2.1,0,7.2,5.7,3,Civil,No,0.0
STU00090,7.62,8.37,7.0,5.5,42.3,2,3,1,6.1,0,9.8,7.3,3,IT,Yes,15.62
STU00091,7.12,6.9,5.2,4.8,48.2,3,3,3,2.7,1,8.2,4.4,4,Electronics,No,0.0
STU00092,8.16,7.59,4.7,6.9,44.4,3,3,2,1.0,0,7.5,5.7,4,Civil,No,0.0
STU00093,6.16,4.93,2.4,4.2,35.8,4,0,1,1.2,1,7.2,8.5,3,Electronics,No,0.0
STU00094,6.61,6.12,6.0,2.9,61.2,1,1,1,1.0,0,6.6,6.8,2,IT,No,0.0
STU00095,6.53,6.47,5.5,3.5,44.1,3,2,3,1.0,2,5.6,7.1,1,Electronics,No,0.0
STU00096,5.24,6.04,5.2,1.8,43.1,2,0,0,3.7,1,9.9,6.7,2,Electronics,No,0.0
STU00097,7.36,7.7,3.8,1.9,54.3,1,3,4,4.9,0,7.8,3.0,3,Computer Science,No,0.0
STU00098,7.31,7.46,8.0,2.9,47.9,2,2,3,3.8,1,8.6,4.3,2,Computer Science,No,0.0
STU00099,7.01,6.81,2.4,3.8,38.0,1,2,2,3.2,1,8.5,4.6,1,Civil,No,0.0
STU00100,6.72,6.43,5.8,3.5,43.0,1,2,0,4.9,0,10.0,5.6,3,Mechanical,No,0.0
STU00101,5.3,6.0,1.0,2.6,38.6,2,0,0,3.8,0,5.8,4.8,2,Electronics,No,0.0
STU00102,6.5,6.6,3.4,4.0,53.0,2,0,0,2.2,0,4.0,6.2,2,Computer Science,No,0.0
STU00103,6.59,5.54,7.0,1.4,48.2,2,1,1,1.0,3,8.9,4.9,2,Computer Science,No,0.0
STU00104,6.04,5.7,5.5,3.5,50.1,3,0,3,1.0,0,5.2,5.2,3,Mechanical,No,0.0
STU00105,6.81,6.38,4.0,4.0,30.2,3,0,2,1.5,1,6.6,6.2,1,Computer Science,No,0.0
STU00106,7.48,7.21,4.6,5.3,64.2,3,2,4,7.2,0,10.0,3.9,2,Computer Science,Yes,16.94
STU00107,9.26,9.54,7.0,8.0,54.5,2,3,8,3.4,0,8.3,8.3,1,Computer Science,Yes,18.0
STU00108,7.21,7.16,5.9,4.1,63.5,1,1,5,1.6,0,8.0,6.2,3,Electronics,No,0.0
STU00109,7.31,7.27,7.1,5.9,58.5,3,3,2,3.5,0,9.4,6.4,4,Mechanical,Yes,17.89
STU00110,6.91,7.57,4.2,2.8,26.8,3,1,3,3.2,0,9.8,6.1,2,Computer Science,No,0.0
STU00111,4.7,4.35,1.0,1.0,40.4,0,0,0,1.9,2,4.9,3.1,4,Civil,No,0.0
STU00112,6.97,7.9,5.2,4.5,61.7,3,4,1,1.0,0,7.3,4.3,4,Mechanical,No,0.0
STU00113,7.07,6.73,4.4,3.6,65.7,2,1,0,3.8,0,8.0,3.9,3,Computer Science,No,0.0
STU00114,9.96,10.0,5.4,7.9,64.5,4,4,2,2.9,0,7.3,9.0,1,IT,Yes,18.0
STU00115,6.77,6.63,5.3,6.1,50.3,1,1,3,1.0,0,7.9,5.2,3,Computer Science,No,0.0
STU00116,7.36,7.42,5.0,4.9,61.2,3,3,1,6.6,0,8.6,6.8,2,Civil,Yes,18.0
STU00117,6.96,7.18,5.4,4.2,58.5,3,0,0,2.8,0,7.6,5.9,3,Mechanical,No,0.0
STU00118,5.6,5.82,2.5,1.3,43.7,2,1,2,3.4,0,6.4,4.3,2,Mechanical,No,0.0
STU00119,8.37,7.99,6.8,3.6,55.8,3,2,2,1.0,0,7.4,7.1,4,Mechanical,No,0.0
STU00120,7.9,7.34,3.7,5.0,69.1,3,1,1,4.8,0,8.5,8.8,1,Computer Science,Yes,18.0
STU00121,7.95,9.2,4.5,6.4,69.5,2,2,1,4.1,0,7.5,8.8,4,Mechanical,Yes,17.49
STU00122,5.91,5.67,3.8,2.3,39.4,1,1,0,2.4,0,6.8,2.7,2,Computer Science,No,0.0
STU00123,8.68,9.03,9.0,6.5,54.0,2,2,7,2.2,0,10.0,7.8,2,Computer Science,Yes,18.0
STU00124,5.32,4.52,4.8,3.7,27.8,1,0,0,1.8,1,7.5,4.4,3,Computer Science,No,0.0
STU00125,7.7,7.56,7.2,6.5,72.0,2,2,3,1.8,0,7.1,7.7,3,Computer Science,Yes,18.0
STU00126,9.63,9.57,9.2,7.7,82.4,2,4,7,4.4,0,10.0,6.3,4,Mechanical,Yes,18.0
STU00127,5.81,6.05,9.5,2.8,40.2,2,1,1,1.0,0,8.4,2.7,3,IT,No,0.0
STU00128,6.32,4.96,4.5,1.4,42.2,0,0,2,1.0,0,6.8,4.8,3,Computer Science,No,0.0
STU00129,7.12,7.2,7.2,3.4,29.7,2,3,4,1.0,0,9.1,5.7,2,Electronics,No,0.0
STU00130,6.4,5.83,6.0,2.9,44.2,2,2,2,4.7,1,9.0,4.2,4,Mechanical,No,0.0
STU00131,5.14,5.3,5.0,1.0,20.8,0,0,0,3.8,0,9.4,5.9,2,Computer Science,No,0.0
STU00132,7.08,6.56,7.7,4.4,52.5,4,2,1,1.9,0,7.5,4.7,3,Computer Science,No,0.0
STU00133,5.73,5.3,3.4,4.8,54.1,3,0,1,1.0,0,5.3,8.4,2,Computer Science,No,0.0
STU00134,7.57,7.43,4.7,6.5,42.8,1,0,3,9.0,1,10.0,5.9,2,Computer Science,No,0.0
STU00135,5.9,5.37,4.6,3.0,44.1,1,1,3,2.2,0,7.6,5.7,1,Electronics,No,0.0
STU00136,8.86,8.62,6.2,7.2,76.9,1,4,5,4.6,0,10.0,6.1,2,Computer Science,Yes,18.0
STU00137,6.06,5.46,4.7,2.0,45.1,1,1,0,7.3,0,8.9,4.7,2,Computer Science,No,0.0
STU00138,6.61,5.69,7.0,5.3,40.6,1,2,1,4.7,0,9.2,5.8,2,Computer Science,No,0.0
STU00139,7.98,8.49,5.1,3.3,58.0,5,2,1,5.3,0,8.3,6.5,1,Computer Science,Yes,18.0
STU00140,5.52,4.87,3.4,3.3,49.6,1,0,2,3.9,1,6.7,6.5,3,IT,No,0.0
STU00141,7.27,7.18,5.5,4.9,55.3,5,1,1,4.0,0,9.9,5.7,3,Computer Science,No,0.0
STU00142,8.57,8.95,5.9,5.0,62.5,2,3,2,2.9,0,7.9,4.9,3,Computer Science,Yes,15.13
STU00143,5.07,4.76,1.0,1.4,48.4,0,0,0,3.8,1,7.0,4.8,2,Electronics,No,0.0
STU00144,7.22,6.81,4.3,2.9,57.9,1,2,0,1.6,0,7.3,4.2,1,Mechanical,No,0.0
STU00145,7.31,7.42,6.3,3.1,38.0,3,1,0,4.8,2,9.9,6.1,2,Electronics,No,0.0
STU00146,7.94,8.5,7.9,3.2,65.1,2,4,1,5.1,0,9.5,6.1,2,Electronics,Yes,18.0
STU00147,5.52,4.94,2.1,3.1,49.6,0,1,1,1.5,1,6.6,1.8,3,Computer Science,No,0.0
STU00148,5.42,5.34,2.0,3.6,22.5,0,0,0,1.0,1,5.2,5.3,3,Computer Science,No,0.0
STU00149,7.63,6.76,5.5,2.2,27.8,3,4,4,2.5,1,9.0,3.8,2,Mechanical,No,0.0
STU00150,7.36,7.16,2.2,6.6,40.4,4,3,1,3.3,0,6.1,8.7,1,Mechanical,Yes,18.0
STU00151,7.3,7.32,4.6,4.3,51.2,2,2,4,2.6,0,7.8,5.0,1,Electronics,No,0.0
STU00152,7.42,6.99,2.7,4.9,65.5,1,1,1,6.1,0,9.0,6.2,3,Mechanical,No,0.0
STU00153,6.18,5.95,6.4,1.2,32.7,0,2,2,6.6,1,8.8,2.6,2,Electronics,No,0.0
STU00154,7.28,6.58,4.1,5.9,58.9,2,2,2,2.2,1,6.1,6.7,3,Electronics,No,0.0
STU00155,7.35,7.39,7.8,4.7,20.0,1,1,1,6.0,0,10.0,4.5,3,Computer Science,No,0.0
STU00156,6.14,6.67,6.0,4.3,45.3,2,0,1,3.9,0,8.7,5.8,2,Computer Science,No,0.0
STU00157,9.24,8.69,5.8,8.2,63.0,2,3,6,6.9,0,9.9,7.3,4,Electronics,Yes,18.0
STU00158,7.57,7.26,3.8,6.3,79.7,4,0,1,3.6,0,6.8,8.2,1,Mechanical,No,0.0
STU00159,5.57,5.82,3.6,1.5,20.0,2,0,0,2.1,1,8.2,2.5,2,Computer Science,No,0.0
STU00160,7.79,8.4,5.5,4.7,56.1,3,2,0,3.4,0,8.6,7.6,3,IT,Yes,17.65
STU00161,5.83,5.08,4.6,1.9,20.0,1,0,2,1.0,0,5.9,6.3,3,Computer Science,No,0.0
STU00162,7.94,7.86,4.6,6.2,50.9,2,2,4,1.0,0,5.8,7.0,1,Computer Science,No,0.0
STU00163,8.39,8.53,7.2,6.1,40.7,0,2,1,4.6,0,9.6,4.7,3,Computer Science,No,0.0
STU00164,6.02,5.97,4.6,4.1,69.8,0,0,1,3.8,2,8.2,4.3,3,Electronics,No,0.0
STU00165,8.16,6.92,5.4,6.7,55.0,1,3,2,4.1,0,9.3,5.7,3,Electronics,No,0.0
STU00166,7.5,7.75,4.3,2.5,51.5,1,1,1,3.4,0,7.1,5.0,1,Electronics,No,0.0
STU00167,7.99,8.75,5.5,6.8,57.4,3,3,3,4.4,0,8.0,7.4,3,Mechanical,Yes,18.0
STU00168,9.28,9.34,5.6,7.9,54.7,2,4,7,7.2,0,10.0,9.0,2,Computer Science,Yes,18.0
STU00169,6.71,6.19,4.9,3.2,60.3,3,2,3,6.3,1,10.0,5.2,3,Mechanical,No,0.0
STU00170,6.1,5.84,4.4,3.3,50.5,3,0,0,6.1,1,10.0,4.0,1,Electronics,No,0.0
STU00171,5.93,6.81,4.5,2.6,52.5,2,1,1,3.0,0,8.1,3.6,4,Electronics,No,0.0
STU00172,6.02,6.47,6.9,3.6,27.5,3,0,0,3.9,0,9.2,5.0,2,Civil,No,0.0
STU00173,6.91,7.23,4.7,3.4,62.9,2,1,1,2.4,0,7.2,5.1,3,IT,No,0.0
STU00174,7.41,7.59,6.8,5.1,65.5,1,2,2,4.4,0,10.0,5.1,3,Computer Science,Yes,15.86
STU00175,7.33,7.0,5.6,4.5,49.9,1,2,3,5.7,0,8.5,6.5,3,Mechanical,No,0.0
STU00176,7.99,7.89,5.4,4.7,68.7,3,3,2,3.9,0,9.6,6.5,2,Mechanical,Yes,15.62
STU00177,7.02,6.98,4.8,4.3,53.4,2,2,1,3.2,0,7.6,4.2,2,Computer Science,No,0.0
STU00178,8.74,9.01,6.3,9.3,44.8,3,2,4,8.2,0,10.0,7.1,4,Computer Science,Yes,18.0
STU00179,6.68,7.43,5.2,2.8,45.2,2,1,3,2.2,0,6.4,7.9,4,Electronics,No,0.0
STU00180,10.0,10.0,6.0,7.3,68.2,7,4,4,6.1,0,9.9,9.7,4,Mechanical,Yes,18.0
STU00181,7.75,7.04,3.4,4.1,57.0,3,3,3,5.1,0,6.9,6.3,2,IT,No,0.0
STU00182,5.97,6.08,5.2,2.1,54.0,1,0,1,4.1,0,8.2,2.9,2,IT,No,0.0
STU00183,5.71,6.08,5.3,3.4,20.0,0,0,1,3.3,1,8.6,3.7,1,Civil,No,0.0
STU00184,7.58,7.89,6.6,5.6,49.3,2,3,0,6.9,0,10.0,6.0,3,Electronics,Yes,17.07
STU00185,6.73,6.42,5.0,3.7,38.0,0,1,3,4.0,0,8.5,5.6,3,Computer Science,No,0.0
STU00186,7.86,9.32,6.8,6.3,47.5,1,1,4,2.5,0,7.8,7.9,2,Mechanical,Yes,18.0
STU00187,7.57,6.93,6.5,5.6,44.7,3,2,2,4.3,0,9.1,5.9,4,Mechanical,No,0.0
STU00188,6.91,6.37,6.1,3.7,50.1,3,2,0,2.6,0,9.4,6.6,2,Mechanical,No,0.0
STU00189,5.98,6.1,2.9,1.0,48.1,1,1,1,4.9,0,6.5,5.8,2,Electronics,No,0.0
STU00190,5.18,6.24,1.9,2.8,39.6,0,0,0,3.1,2,8.0,5.1,2,Mechanical,No,0.0
STU00191,6.46,6.04,4.0,3.6,47.9,1,1,0,4.0,0,8.6,3.9,3,Computer Science,No,0.0
STU00192,8.03,7.9,5.8,5.3,65.7,2,2,1,6.1,0,10.0,5.9,3,Computer Science,Yes,17.17
STU00193,7.26,7.8,4.8,3.8,80.6,1,0,3,5.9,0,10.0,4.7,2,Computer Science,No,0.0
STU00194,5.51,5.5,1.0,3.1,39.7,1,0,1,1.0,1,5.6,5.5,1,Computer Science,No,0.0
STU00195,7.21,7.04,7.8,4.7,63.9,2,2,6,2.4,0,8.3,5.1,3,IT,No,0.0
STU00196,7.46,7.74,5.0,4.3,65.3,2,3,3,7.4,0,9.2,8.5,3,Computer Science,Yes,17.29
STU00197,5.94,6.08,4.4,1.3,62.9,0,1,2,2.5,4,7.0,1.8,4,Mechanical,No,0.0
STU00198,7.18,7.7,7.0,5.5,58.2,1,1,2,4.0,0,9.5,5.4,2,Civil,No,0.0
STU00199,7.07,7.72,1.5,4.8,40.4,5,0,1,3.7,1,8.3,6.9,1,Computer Science,No,0.0
STU00200,5.63,5.78,3.1,2.7,42.7,0,0,0,3.3,1,6.9,2.3,3,Computer Science,No,0.0
STU00201,7.43,7.58,4.8,1.3,56.5,1,2,0,3.8,0,9.8,4.1,2,Computer Science,No,0.0
STU00202,7.67,7.78,5.0,4.8,65.1,2,2,3,6.0,0,8.2,4.0,1,IT,No,0.0
STU00203,8.3,8.54,5.8,5.3,49.9,1,3,2,2.8,0,8.5,6.6,2,Mechanical,Yes,18.0
STU00204,8.26,8.29,8.2,4.8,75.3,1,3,3,2.1,0,7.5,6.4,2,Mechanical,Yes,15.99
STU00205,5.35,5.35,4.7,2.9,36.9,1,0,0,3.2,2,5.4,4.7,2,Mechanical,No,0.0
STU00206,5.87,6.47,5.5,3.5,51.0,0,0,2,4.1,0,10.0,3.8,4,IT,No,0.0
STU00207,7.62,8.38,5.6,5.3,58.7,4,1,4,2.9,0,9.1,6.1,2,Computer Science,Yes,16.96
STU00208,7.62,6.87,3.4,6.0,56.4,2,2,2,1.8,0,6.9,8.9,3,Mechanical,No,0.0
STU00209,7.62,7.63,2.4,3.5,57.8,3,0,4,4.2,0,9.1,4.2,1,Electronics,No,0.0
STU00210,10.0,9.66,5.1,7.1,82.1,5,4,2,4.8,0,10.0,8.1,1,Civil,Yes,18.0
STU00211,7.69,7.53,6.1,4.9,79.0,1,2,5,3.0,0,10.0,4.5,1,Computer Science,Yes,15.97
STU00212,8.36,8.56,6.1,4.9,36.7,4,4,3,4.1,0,9.7,6.2,3,Electronics,Yes,18.0
STU00213,8.14,8.47,5.6,6.2,65.6,7,3,1,3.8,0,10.0,4.7,1,Computer Science,Yes,18.0
STU00214,7.78,7.72,5.1,4.3,56.8,2,2,0,6.6,0,8.9,5.8,4,Mechanical,No,0.0
STU00215,6.62,5.66,7.7,5.1,44.8,1,3,0,4.6,0,9.2,6.8,2,Mechanical,No,0.0
STU00216,7.91,7.43,4.5,4.0,28.9,0,3,1,7.1,0,10.0,3.2,2,Mechanical,No,0.0
STU00217,6.07,6.52,5.6,5.4,49.5,4,0,3,1.1,1,8.7,7.8,3,Electronics,No,0.0
STU00218,6.72,5.35,4.8,6.1,46.3,5,3,1,3.3,1,8.0,9.8,4,Civil,Yes,14.27
STU00219,6.42,7.01,4.4,3.2,35.3,5,2,2,5.1,2,10.0,6.4,2,Computer Science,No,0.0
STU00220,7.1,7.36,6.8,5.5,51.3,1,1,2,7.8,1,8.0,6.7,3,Mechanical,No,0.0
STU00221,9.78,10.0,9.4,6.9,68.7,2,4,6,5.3,0,10.0,7.2,3,Mechanical,Yes,18.0
STU00222,4.76,4.66,2.8,2.5,20.0,0,0,0,2.6,1,8.1,4.8,2,Computer Science,No,0.0
STU00223,7.82,6.79,6.9,4.8,57.6,2,2,2,5.5,0,10.0,6.5,3,Computer Science,No,0.0
STU00224,5.06,5.28,4.0,1.0,41.4,0,0,0,2.6,1,7.8,1.6,4,Computer Science,No,0.0
STU00225,6.43,7.07,4.6,1.0,38.8,1,2,2,1.0,0,6.0,4.5,2,Electronics,No,0.0
STU00226,8.31,8.77,6.4,5.2,63.6,1,3,3,4.2,0,8.3,6.5,2,Computer Science,Yes,18.0
STU00227,7.08,6.75,4.0,4.4,51.9,1,1,2,1.0,0,7.9,5.3,4,Electronics,No,0.0
STU00228,5.71,5.75,3.5,4.0,52.2,1,0,0,1.2,3,5.9,4.2,3,Computer Science,No,0.0
STU00229,6.14,5.87,3.4,3.0,41.9,3,0,0,5.1,0,10.0,6.0,3,Electronics,No,0.0
STU00230,7.82,7.41,7.0,6.2,66.2,4,2,3,4.1,0,8.7,6.5,1,Civil,Yes,18.0
STU00231,6.12,6.6,4.2,2.4,39.2,1,1,4,3.1,2,5.9,4.2,3,Electronics,No,0.0
STU00232,7.26,6.66,3.3,3.9,75.7,2,1,5,3.3,0,6.3,4.7,4,Mechanical,No,0.0
STU00233,7.05,6.6,4.0,5.3,45.2,2,3,2,1.0,0,6.0,6.6,2,Electronics,No,0.0
